year,office,district,candidate,party,votes,percentage
2014,State House,1,Data to be fetched,Data to be fetched,0,0.0
2014,State House,2,Data to be fetched,Data to be fetched,0,0.0
2014,State House,3,Data to be fetched,Data to be fetched,0,0.0
2014,State House,4,Data to be fetched,Data to be fetched,0,0.0
2014,State House,5,Data to be fetched,Data to be fetched,0,0.0
2014,State House,6,Data to be fetched,Data to be fetched,0,0.0
2014,State House,7,Data to be fetched,Data to be fetched,0,0.0
2014,State House,8,Data to be fetched,Data to be fetched,0,0.0
2014,State House,9,Data to be fetched,Data to be fetched,0,0.0
2014,State House,10,Data to be fetched,Data to be fetched,0,0.0
2014,State House,11,Data to be fetched,Data to be fetched,0,0.0
2014,State House,12,Data to be fetched,Data to be fetched,0,0.0
2014,State House,13,Data to be fetched,Data to be fetched,0,0.0
2014,State House,14,Data to be fetched,Data to be fetched,0,0.0
2014,State House,15,Data to be fetched,Data to be fetched,0,0.0
2014,State House,16,Data to be fetched,Data to be fetched,0,0.0
2014,State House,17,Data to be fetched,Data to be fetched,0,0.0
2014,State House,18,Data to be fetched,Data to be fetched,0,0.0
2014,State House,19,Data to be fetched,Data to be fetched,0,0.0
2014,State House,20,Data to be fetched,Data to be fetched,0,0.0
2014,State House,21,Data to be fetched,Data to be fetched,0,0.0
2014,State House,22,Data to be fetched,Data to be fetched,0,0.0
2014,State House,23,Data to be fetched,Data to be fetched,0,0.0
2014,State House,24,Data to be fetched,Data to be fetched,0,0.0
2014,State House,25,Data to be fetched,Data to be fetched,0,0.0
2014,State House,26,Data to be fetched,Data to be fetched,0,0.0
2014,State House,27,Data to be fetched,Data to be fetched,0,0.0
2014,State House,28,Data to be fetched,Data to be fetched,0,0.0
2014,State House,29,Data to be fetched,Data to be fetched,0,0.0
2014,State House,30,Data to be fetched,Data to be fetched,0,0.0
2014,State House,31,Data to be fetched,Data to be fetched,0,0.0
2014,State House,32,Data to be fetched,Data to be fetched,0,0.0
2014,State House,33,Data to be fetched,Data to be fetched,0,0.0
2014,State House,34,Data to be fetched,Data to be fetched,0,0.0
2014,State House,35,Data to be fetched,Data to be fetched,0,0.0
2014,State House,36,Data to be fetched,Data to be fetched,0,0.0
2014,State House,37,Data to be fetched,Data to be fetched,0,0.0
2014,State House,38,Data to be fetched,Data to be fetched,0,0.0
2014,State House,39,Data to be fetched,Data to be fetched,0,0.0
2014,State House,40,Data to be fetched,Data to be fetched,0,0.0
2014,State House,41,Data to be fetched,Data to be fetched,0,0.0
2014,State House,42,Data to be fetched,Data to be fetched,0,0.0
2014,State House,43,Data to be fetched,Data to be fetched,0,0.0
2014,State House,44,Data to be fetched,Data to be fetched,0,0.0
2014,State House,45,Data to be fetched,Data to be fetched,0,0.0
2014,State House,46,Data to be fetched,Data to be fetched,0,0.0
2014,State House,47,Data to be fetched,Data to be fetched,0,0.0
2014,State House,48,Data to be fetched,Data to be fetched,0,0.0
2014,State House,49,Data to be fetched,Data to be fetched,0,0.0
2014,State House,50,Data to be fetched,Data to be fetched,0,0.0
2014,State House,51,Data to be fetched,Data to be fetched,0,0.0
2014,State House,52,Data to be fetched,Data to be fetched,0,0.0
2014,State House,53,Data to be fetched,Data to be fetched,0,0.0
2014,State House,54,Data to be fetched,Data to be fetched,0,0.0
2014,State House,55,Data to be fetched,Data to be fetched,0,0.0
2014,State House,56,Data to be fetched,Data to be fetched,0,0.0
2014,State House,57,Data to be fetched,Data to be fetched,0,0.0
2014,State House,58,Data to be fetched,Data to be fetched,0,0.0
2014,State House,59,Data to be fetched,Data to be fetched,0,0.0
2014,State House,60,Data to be fetched,Data to be fetched,0,0.0
2014,State House,61,Data to be fetched,Data to be fetched,0,0.0
2014,State House,62,Data to be fetched,Data to be fetched,0,0.0
2014,State House,63,Data to be fetched,Data to be fetched,0,0.0
2014,State House,64,Data to be fetched,Data to be fetched,0,0.0
2014,State House,65,Data to be fetched,Data to be fetched,0,0.0
2014,State House,66,Data to be fetched,Data to be fetched,0,0.0
2014,State House,67,Data to be fetched,Data to be fetched,0,0.0
2014,State House,68,Data to be fetched,Data to be fetched,0,0.0
2014,State House,69,Data to be fetched,Data to be fetched,0,0.0
2014,State House,70,Data to be fetched,Data to be fetched,0,0.0
2014,State House,71,Data to be fetched,Data to be fetched,0,0.0
2014,State House,72,Data to be fetched,Data to be fetched,0,0.0
2014,State House,73,Data to be fetched,Data to be fetched,0,0.0
