filer_id,candidate_name,office,district,year,total_expenditures,num_reports
51407,"Paxton Jr., W. Kenneth (The Honorable)",ATTYGEN,,2024.0,1151401.38,2
19652,"Abbott, Greg (The Honorable)",GOVERNOR,,2024.0,14345708.709999999,2
86357,"Goloby, Mark Vincent (Mr.)",GOVERNOR,State,2024.0,7473.25,1
88938,"Hostetler, Robert S. (Mr.)",GOVERNOR,,2024.0,1183.31,1
86326,"Wakeland, Richard E. (Mr.)",GOVERNOR,,2024.0,1146.3500000000001,2
69817,"Cavazos, Cynthia T. (Ms.)",GOVERNOR,,2024.0,30.0,1
87640,"Washington III, John (Mr.)",GOVERNOR,,2024.0,0.0,3
57897,"Patrick, Dan (The Honorable)",LTGOVERNOR,,2024.0,1590527.21,3
57429,"Alvarado, Maria Luisa (Ms.)",LTGOVERNOR,,2024.0,0.0,2
62288,"Phelan, Matthew M. (The Honorable)",STATEREP,21,2024.0,17463877.22,13
66988,"Kuempel, John L. (The Honorable)",STATEREP,44,2024.0,3971841.95,4
85648,"Covey, David A.",STATEREP,21,2024.0,2363973.35,5
69344,"Meyer, Morgan D. (The Honorable)",STATEREP,108,2024.0,2179585.08,8
87920,"Carranza, Kristian",STATEREP,118,2024.0,2167057.43,7
80066,"Holland, Justin A. (The Honorable)",STATEREP,33,2024.0,2076266.71,5
86466,"Lahood, Marc Andrew (The Honorable)",STATEREP,121,2024.0,1917416.28,9
67738,"Leach, Jeff C. (The Honorable)",STATEREP,67,2024.0,1905783.89,9
58435,"Lujan III, John (The Honorable)",STATEREP,118,2024.0,1888683.16,6
51651,"Darby, Drew (The Honorable)",STATEREP,72,2024.0,1839726.81,6
20891,"Schoolcraft, Alan L. (Mr.)",STATEREP,44,2024.0,1829284.17,13
84128,"Rogers, Glenn M. (The Honorable)",STATEREP,60,2024.0,1611783.5,8
69367,"VanDeaver, Gary W. (The Honorable)",STATEREP,1,2024.0,1588324.03,7
87886,"Bishop, Averie Danielle (Ms.)",STATEREP,112,2024.0,1567847.74,8
85989,"Frazier, Frederick E. (The Honorable)",STATEREP,61,2024.0,1539440.1,6
62309,"Button, Angie C. (The Honorable)",STATEREP,112,2024.0,1461252.56,8
69548,"Burns, DeWayne C. (The Honorable)",STATEREP,58,2024.0,1459951.98,7
80276,"Stucky, Lynn D. (The Honorable)",STATEREP,64,2024.0,1459347.42,7
57431,"Klick, Stephanie D. (The Honorable)",STATEREP,91,2024.0,1426209.74,5
88279,"Pierson, Katrina L.",STATEREP,33,2024.0,1401632.16,6
87820,"McLaughlin Jr., Don E.",STATEREP,80,2024.0,1330887.49,11
85680,"Lowe, David O. (Mr.)",STATEREP,91,2024.0,1286404.97,12
67768,"DeAyala, Emilio F. (The Honorable)",STATEREP,133,2024.0,1286113.4300000002,6
70273,"Burrows, Dustin R. (The Honorable)",STATEREP,83,2024.0,1187143.8800000001,7
62790,"Turner, Christopher G. (The Honorable)",STATEREP,101,2024.0,1186554.27,7
84135,"Hull, Lacey M. (The Honorable)",STATEREP,138,2024.0,1134406.71,4
26513,"Shine, Hugh D. (The Honorable)",STATEREP,55,2024.0,1118372.91,4
88078,"Little, Jason Mitchell (Mr.)",STATEREP,65,2024.0,1118117.3199999998,6
87954,"Curry, Patrick J. (Mr.)",STATEREP,56,2024.0,1099013.98,7
84044,"Thimesch, Kronda (The Honorable)",STATEREP,65,2024.0,1091953.84,6
35933,"Bius, Walter B. (Mr.)",STATEREP,12,2024.0,1053981.53,4
87672,"Dutton, Jill S. (Mrs.)",STATEREP,2,2024.0,1013101.8600000001,4
84941,"Hopper, Stephen (Mr.)",STATEREP,64,2024.0,988480.3099999999,8
65781,"Thierry, Shawn Nicole (The Honorable)",STATEREP,146,2024.0,957059.88,9
88263,"McQueeney, John W. (Mr.)",STATEREP,97,2024.0,938928.37,8
80128,"Bailes IV, Ernest J. (The Honorable)",STATEREP,18,2024.0,906311.32,5
88181,"Louderback, Andrew J. (Mr.)",STATEREP,30,2024.0,898320.17,11
67800,"Ashby, Trenton E. (The Honorable)",STATEREP,9,2024.0,882445.51,6
87718,"Simon, Julia Yasmin (Mrs.)",STATEREP,108,2024.0,881977.26,5
82346,"Bell, Gregory (The Honorable)",STATEREP,4,2024.0,879098.48,8
51674,"Cook, David L. (The Honorable)",STATEREP,96,2024.0,874755.26,7
21186,"Raymond, Richard E. Pena (The Honorable)",STATEREP,42,2024.0,864693.7,4
88323,"Kerwin, Helen D. (Ms.)",STATEREP,58,2024.0,862348.54,11
85663,"Troxclair, Ellen (The Honorable)",STATEREP,19,2024.0,859358.97,7
29493,"Geren, Charles L. (The Honorable)",STATEREP,99,2024.0,839186.39,7
86035,"Bumgarner, Benjamin C (The Honorable)",STATEREP,63,2024.0,835425.99,8
80253,"Lambert, Standard D. (The Honorable)",STATEREP,71,2024.0,825819.68,8
88177,"Bean, Cheryl (Ms.)",STATEREP,97,2024.0,805548.49,7
86202,"Gerdes, Stanley Arthur (The Honorable)",STATEREP,17,2024.0,789206.48,8
20664,"Smithee, John T. (The Honorable)",STATEREP,86,2024.0,783917.63,8
81422,"Jetton, Jacey R. (The Honorable)",STATEREP,26,2024.0,783722.69,4
85754,"Harris Davila, Caroline (The Honorable)",STATEREP,52,2024.0,747616.75,2
67818,"Clardy, Travis P. (The Honorable)",STATEREP,11,2024.0,713438.59,5
86010,"Plesa, Mihaela E. (The Honorable)",STATEREP,70,2024.0,698903.15,4
88178,"Case Pickens, Elizabeth A. (Mrs.)",STATEREP,71,2024.0,698527.3200000001,4
87854,"Villalobos, Denise (Mrs.)",STATEREP,34,2024.0,695010.0,6
69477,"Metcalf, William T. (The Honorable)",STATEREP,16,2024.0,682269.33,5
65230,"Canales, Terry (The Honorable)",STATEREP,40,2024.0,673080.34,3
80276,"Stucky, Lynn D. (The Honorable)",STATEREP,,2024.0,663926.55,2
82584,"Spencer, Chris (Mr.)",STATEREP,1,2024.0,643134.86,7
81273,"Noble, Candace T. (The Honorable)",STATEREP,89,2024.0,637552.8,7
80440,"Hinojosa, Regina (The Honorable)",STATEREP,49,2024.0,631079.57,6
80046,"Dean, Jay (The Honorable)",STATEREP,7,2024.0,627184.77,8
88274,"Swift, Laurel Jordan (Mrs.)",STATEREP,121,2024.0,618086.1,7
59793,"Ortiz Jr., Solomon P. (Mr.)",STATEREP,34,2024.0,604469.1,8
88090,"Richardson, Keresa (Mrs.)",STATEREP,61,2024.0,599235.28,10
65973,"Capriglione, Giovanni S. (The Honorable)",STATEREP,98,2024.0,599212.44,8
67717,"Toth, Steven H. (The Honorable)",STATEREP,15,2024.0,595675.9500000001,7
88170,"Bauknight, Jeffrey J. (Mr.)",STATEREP,30,2024.0,595582.25,5
87964,"Kamkar, Alex",STATEREP,29,2024.0,591329.9,6
85171,"Spiller, David L. (The Honorable)",STATEREP,68,2024.0,587587.49,8
67681,"King, Kenneth P. (The Honorable)",STATEREP,88,2024.0,567773.26,6
82156,"Harris, Cody J. (The Honorable)",STATEREP,8,2024.0,559807.6799999999,6
85982,"Lopez, Janie (The Honorable)",STATEREP,37,2024.0,558527.11,6
51418,"Gates Jr., Gary W. (The Honorable)",STATEREP,28,2024.0,550890.34,5
66243,"Price IV, Walter T. (The Honorable)",STATEREP,87,2024.0,550410.6499999999,4
82201,"Allison, Stephen P. (The Honorable)",STATEREP,121,2024.0,547848.82,3
81543,"Zwiener, Erin A. (The Honorable)",STATEREP,45,2024.0,545101.1,10
88044,"Simmons, Lauren Ashley",STATEREP,146,2024.0,533776.41,7
81958,"Smith, Reginald (The Honorable)",STATEREP,62,2024.0,532158.02,5
87716,"Money, Brent A. (Mr.)",STATEREP,2,2024.0,530922.89,8
87985,"Barry, Jeffrey M.",STATEREP,29,2024.0,529148.92,9
80350,"Wilson, Terry M. (The Honorable)",STATEREP,20,2024.0,527955.65,7
80113,"Biedermann, Kenneth K. (The Honorable)",STATEREP,19,2024.0,527485.13,5
35579,"Guerra, Roberto D. (The Honorable)",STATEREP,41,2024.0,500772.39,5
20493,"Hunter, Todd A. (The Honorable)",STATEREP,32,2024.0,498149.18,2
85953,"Olcott, Michael C. (Dr.)",STATEREP,60,2024.0,493415.89,4
54543,"Martinez, Armando A. (The Honorable)",STATEREP,39,2024.0,492608.77,6
67972,"Johnson, Ann (The Honorable)",STATEREP,134,2024.0,492534.75,5
85730,"Ginsberg, Elizabeth R. (Mrs.)",STATEREP,108,2024.0,490921.15,7
54808,"Anchia, Rafael M. (The Honorable)",STATEREP,103,2024.0,490455.5,5
80101,"Hefner, Joseph Cole (The Honorable)",STATEREP,5,2024.0,483673.55000000005,6
