year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Texas,TX,Anderson,48001.0,President,Al Gore,democrat,5041.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,George W. Bush,republican,9835.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,Ralph Nader,green,131.0,15080,20191203
2000,Texas,TX,Anderson,48001.0,President,Other,,73.0,15080,20191203
2000,Texas,TX,Andrews,48003.0,President,Al Gore,democrat,876.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,George W. Bush,republican,3091.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,Ralph Nader,green,28.0,4024,20191203
2000,Texas,TX,Andrews,48003.0,President,Other,,29.0,4024,20191203
2000,Texas,TX,Angelina,48005.0,President,Al Gore,democrat,9957.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,George W. Bush,republican,16648.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,Ralph Nader,green,245.0,26974,20191203
2000,Texas,TX,Angelina,48005.0,President,Other,,124.0,26974,20191203
2000,Texas,TX,Aransas,48007.0,President,Al Gore,democrat,2637.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,George W. Bush,republican,5390.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,Ralph Nader,green,182.0,8247,20191203
2000,Texas,TX,Aransas,48007.0,President,Other,,38.0,8247,20191203
2000,Texas,TX,Archer,48009.0,President,Al Gore,democrat,993.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,George W. Bush,republican,2951.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,Ralph Nader,green,36.0,3997,20191203
2000,Texas,TX,Archer,48009.0,President,Other,,17.0,3997,20191203
2000,Texas,TX,Armstrong,48011.0,President,Al Gore,democrat,150.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,George W. Bush,republican,772.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,Ralph Nader,green,11.0,938,20191203
2000,Texas,TX,Armstrong,48011.0,President,Other,,5.0,938,20191203
2000,Texas,TX,Atascosa,48013.0,President,Al Gore,democrat,4322.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,George W. Bush,republican,6231.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,Ralph Nader,green,130.0,10746,20191203
2000,Texas,TX,Atascosa,48013.0,President,Other,,63.0,10746,20191203
2000,Texas,TX,Austin,48015.0,President,Al Gore,democrat,2407.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,George W. Bush,republican,6661.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,Ralph Nader,green,112.0,9227,20191203
2000,Texas,TX,Austin,48015.0,President,Other,,47.0,9227,20191203
2000,Texas,TX,Bailey,48017.0,President,Al Gore,democrat,488.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,George W. Bush,republican,1589.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,Ralph Nader,green,6.0,2090,20191203
2000,Texas,TX,Bailey,48017.0,President,Other,,7.0,2090,20191203
2000,Texas,TX,Bandera,48019.0,President,Al Gore,democrat,1426.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,George W. Bush,republican,5613.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,Ralph Nader,green,157.0,7273,20191203
2000,Texas,TX,Bandera,48019.0,President,Other,,77.0,7273,20191203
2000,Texas,TX,Bastrop,48021.0,President,Al Gore,democrat,6973.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,George W. Bush,republican,10310.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,Ralph Nader,green,871.0,18308,20191203
2000,Texas,TX,Bastrop,48021.0,President,Other,,154.0,18308,20191203
2000,Texas,TX,Baylor,48023.0,President,Al Gore,democrat,663.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,George W. Bush,republican,1285.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,Ralph Nader,green,26.0,1984,20191203
2000,Texas,TX,Baylor,48023.0,President,Other,,10.0,1984,20191203
2000,Texas,TX,Bee,48025.0,President,Al Gore,democrat,3795.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,George W. Bush,republican,4429.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,Ralph Nader,green,66.0,8330,20191203
2000,Texas,TX,Bee,48025.0,President,Other,,40.0,8330,20191203
2000,Texas,TX,Bell,48027.0,President,Al Gore,democrat,21011.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,George W. Bush,republican,41208.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,Ralph Nader,green,728.0,63291,20191203
2000,Texas,TX,Bell,48027.0,President,Other,,344.0,63291,20191203
2000,Texas,TX,Bexar,48029.0,President,Al Gore,democrat,185158.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,George W. Bush,republican,215613.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,Ralph Nader,green,9790.0,412726,20191203
2000,Texas,TX,Bexar,48029.0,President,Other,,2165.0,412726,20191203
2000,Texas,TX,Blanco,48031.0,President,Al Gore,democrat,811.0,3767,20191203
