year,district,office,candidate,party,votes,percentage
2018,10,State Representative,Wray,R,44652,70.3
2018,10,State Representative,Emery,D,17445,27.5
2018,10,State Representative,Savino,L,1453,2.3
2018,101,State Representative,Turner,D,31127,87.4
2018,101,State Representative,Allen,L,4490,12.6
2018,102,State Representative,Ramos,D,30025,52.9
2018,102,State Representative,Koop,R,26758,47.1
2018,103,State Representative,Anchia,D,29936,78.2
2018,103,State Representative,Fortenberry,R,8322,21.8
2018,105,State Representative,Meza,D,24579,54.7
2018,105,State Representative,Anderson,R,20324,45.3
2018,106,State Representative,Patterson,R,48460,58.3
2018,106,State Representative,Thompson,D,34651,41.7
2018,107,State Representative,Neave,D,29058,57.1
2018,107,State Representative,Metzger,R,21829,42.9
2018,108,State Representative,Meyer,R,39427,50.1
2018,108,State Representative,Cattanach,D,39207,49.9
2018,11,State Representative,Clardy,R,38704,74.4
2018,11,State Representative,Johnson,D,13343,25.6
2018,112,State Representative,Chen Button,R,27126,51.0
2018,112,State Representative,Chambers,D,26016,49.0
2018,113,State Representative,Bowers,D,28170,53.5
2018,113,State Representative,Boos,R,24500,46.5
2018,114,State Representative,Turner,D,37020,55.6
2018,114,State Representative,Luby Ryan,R,29508,44.4
2018,115,State Representative,Johnson,D,32214,56.8
2018,115,State Representative,Rinaldi,R,24512,43.2
2018,116,State Representative,Martinez Fischer,D,32538,70.4
2018,116,State Representative,Padron,R,13680,29.6
2018,117,State Representative,Cortez,D,32976,57.4
2018,117,State Representative,Berlanga,R,24480,42.6
2018,118,State Representative,Pacheco,D,24032,58.0
2018,118,State Representative,Lujan,R,17367,42.0
2018,12,State Representative,Kacal,R,33060,67.6
2018,12,State Representative,Arnold,D,15855,32.4
2018,120,State Representative,Gervin-Hawkins,D,28864,68.4
2018,120,State Representative,Payne,R,13354,31.6
2018,121,State Representative,Allison,R,38843,53.2
2018,121,State Representative,Montoya,D,32679,44.7
2018,121,State Representative,Olfers,L,1529,2.1
2018,122,State Representative,Larson,R,58311,61.9
2018,122,State Representative,Barnett,D,35851,38.1
2018,124,State Representative,Minjarez,D,31835,67.6
2018,124,State Representative,Arredondo,R,15229,32.4
2018,125,State Representative,Rodriguez,D,32953,81.4
2018,125,State Representative,Pina,L,7541,18.6
2018,126,State Representative,Harless,R,30399,54.8
2018,126,State Representative,Hurtado,D,25035,45.2
2018,127,State Representative,Huberty,R,44595,80.2
2018,127,State Representative,Woods,L,10981,19.8
2018,129,State Representative,Paul,R,36554,56.5
2018,129,State Representative,Karjeker,D,27054,41.8
2018,129,State Representative,Majsterski,L,1076,1.7
2018,13,State Representative,Leman,R,51115,79.1
2018,13,State Representative,Webster,D,13491,20.9
2018,130,State Representative,Oliverson,R,52106,68.4
2018,130,State Representative,Infortunio,D,22598,29.7
2018,130,State Representative,Eriksen,L,1428,1.9
2018,131,State Representative,Allen,D,35930,85.8
2018,131,State Representative,Ali,R,5940,14.2
2018,132,State Representative,Calanni,D,32841,49.3
2018,132,State Representative,Schofield,R,32728,49.1
2018,132,State Representative,Arevalo,L,1106,1.7
2018,133,State Representative,Murphy,R,41400,58.1
2018,133,State Representative,Schexnayder,D,29844,41.9
2018,134,State Representative,Davis,R,47277,53.2
2018,134,State Representative,Sawyer,D,41637,46.8
2018,135,State Representative,Rosenthal,D,28473,50.8
