year,district,office,candidate,party,votes,percentage
2018,10,State Senator,Powell,D,148959,51.7
2018,10,State Senator,Burton,R,138968,48.3
2018,14,State Senator,Watson,D,276052,71.9
2018,14,State Senator,Hindman,R,96834,25.2
2018,14,State Senator,Verlander,L,10889,2.8
2018,15,State Senator,Whitmire,D,153016,65.2
2018,15,State Senator,Orr,R,75518,32.2
2018,15,State Senator,Velsquez,L,6229,2.7
2018,16,State Senator,Johnson,D,159228,54.1
2018,16,State Senator,Huffines,R,134933,45.9
2018,17,State Senator,Huffman,R,158263,51.4
2018,17,State Senator,Lucido,D,143978,46.8
2018,17,State Senator,LaCount,L,5396,1.8
2018,2,State Senator,Hall,R,153122,59.4
2018,2,State Senator,Scudder,D,104859,40.6
2018,25,State Senator,Campbell,R,236710,57.7
2018,25,State Senator,Kling,D,173667,42.3
2018,3,State Senator,Nichols,R,215048,78.3
2018,3,State Senator,Layton,D,56391,20.5
2018,3,State Senator,Quarles,L,3304,1.2
2018,30,State Senator,Fallon,R,234364,73.9
2018,30,State Senator,Lopez,D,82663,26.1
2018,31,State Senator,Seliger,R,174343,87.5
2018,31,State Senator,Westbrook,L,24869,12.5
2018,5,State Senator,Schwertner,R,182538,55.3
2018,5,State Senator,Walsh,D,136789,41.5
2018,5,State Senator,Lyons,L,10499,3.2
2018,7,State Senator,Bettencort,R,177864,57.8
2018,7,State Senator,Romero,D,124232,40.3
2018,7,State Senator,Glass,L,5878,1.9
2018,8,State Senator,Paxton,R,169995,51.2
2018,8,State Senator,Phariss,D,162157,48.8
2018,9,State Senator,Hancock,R,132256,54.0
2018,9,State Senator,Burud,D,112537,46.0
2020,1,State Senator,Hughes,R,267261,75.3
2020,1,State Senator,Spanko,D,87793,24.7
2020,11,State Senator,Taylor,R,231268,59.5
2020,11,State Senator,Criss,D,148225,38.1
2020,11,State Senator,Wissel,L,9519,2.4
2020,12,State Senator,Nelson,R,293399,62.3
2020,12,State Senator,Zitoon,D,177610,37.7
2020,13,State Senator,Miles,D,200195,80.5
2020,13,State Senator,Morris,R,48581,19.5
2020,18,State Senator,Kolkhorst,R,277834,65.8
2020,18,State Senator,Antalan,D,144455,34.2
2020,19,State Senator,Gutierrez,D,158719,49.8
2020,19,State Senator,Flores,R,148210,46.5
2020,19,State Senator,Valdivia,L,11465,3.6
2020,20,State Senator,Hinojosa,D,154311,58.5
2020,20,State Senator,Cutright,R,109563,41.5
2020,21,State Senator,Zaffirini,D,167669,60.1
2020,21,State Senator,Pomeroy,R,111129,39.9
2020,22,State Senator,Birdwell,R,257385,68.5
2020,22,State Senator,Vick,D,118586,31.5
2020,24,State Senator,Buckingham,R,264433,69.5
2020,24,State Senator,Tucker,D,115829,30.5
2020,26,State Senator,Menendez,D,199829,80.0
2020,26,State Senator,Villarreal,G,50004,20.0
2020,27,State Senator,Lucio,D,134071,64.8
2020,27,State Senator,Tijerina,R,72792,35.2
2020,29,State Senator,Blanco,D,176365,67.3
2020,29,State Senator,Hatch,R,85619,32.7
2020,4,State Senator,Creighton,R,281105,67.3
2020,4,State Senator,Stittleburg,D,126019,30.2
2020,4,State Senator,Brock,L,10277,2.5
2020,6,State Senator,Alvarado,D,137895,84.1
2020,6,State Senator,Duffield,L,26166,15.9
2022,12,State Senator,Parker,R,213017,61.4
2022,12,State Senator,Ly,D,133677,38.6
2022,14,State Senator,Eckhardt,D,265994,82.2
2022,14,State Senator,Haskett,L,57409,17.8
2022,15,State Senator,Whitmire,D,159125,65.3
2022,15,State Senator,Vachris,R,84437,34.7
2022,16,State Senator,Johnson,D,118663,61.9
2022,16,State Senator,Copeland,R,72885,38.1
2022,17,State Senator,Huffman,R,179653,65.3
2022,17,State Senator,Benton,D,95320,34.7
2022,18,State Senator,Kolkhorst,R,186367,66.2
2022,18,State Senator,Tutt,D,95287,33.8
2022,19,State Senator,Gutierrez,D,117491,55.4
2022,19,State Senator,Garza,R,94621,44.6
2022,2,State Senator,Hall,R,172690,61.9
2022,2,State Senator,Giadolor,D,106285,38.1
2022,20,State Senator,Hinojosa,D,102280,59.2
2022,20,State Senator,Wright,R,70536,40.8
2022,21,State Senator,Zaffirini,D,129942,61.6
2022,21,State Senator,Dahlberg,R,75818,35.9
2022,21,State Senator,DiBianca,L,5285,2.5
2022,22,State Senator,Birdwell,R,190983,74.3
2022,22,State Senator,Schroppel,L,66201,25.7
2022,24,State Senator,Flores,R,187598,64.3
2022,24,State Senator,Jones-Hospod,D,104063,35.7
2022,25,State Senator,Campbell,R,244034,62.8
2022,25,State Senator,Walsh,D,144402,37.2
2022,26,State Senator,Menendez,D,140799,66.5
2022,26,State Senator,Murray,R,70773,33.5
2022,27,State Senator,LaMantia,D,88036,50.2
2022,27,State Senator,Hinojosa,R,87378,49.8
2022,29,State Senator,Blanco,D,111627,64.1
2022,29,State Senator,Zubeldia,R,62528,35.9
2022,3,State Senator,Nichols,R,213264,77.4
2022,3,State Senator,Russell,D,58273,21.2
2022,3,State Senator,Lindsey,L,3941,1.4
2022,4,State Senator,Creighton,R,202323,69.9
2022,4,State Senator,Bishop,D,86934,30.1
2022,5,State Senator,Schwertner,R,192146,71.6
2022,5,State Senator,Estes,L,76317,28.4
2022,8,State Senator,Paxton,R,187754,57.7
2022,8,State Senator,Cocks,D,128399,39.5
2022,8,State Senator,Kless,L,9293,2.9
2022,9,State Senator,Hancock,R,166864,60.0
2022,9,State Senator,Burud,D,111019,40.0
