year,district,office,candidate,party,votes,percentage
2018,1,U.S. Representative,Gohmert,R,168163,72.3
2018,1,U.S. Representative,McKellar,D,61263,26.3
2018,1,U.S. Representative,Callaway,L,3292,1.4
2018,10,U.S. Representative,McCaul,R,157165,51.1
2018,10,U.S. Representative,Siegel,D,144034,46.8
2018,10,U.S. Representative,Ryan,L,6627,2.2
2018,11,U.S. Representative,Conaway,R,176599,80.1
2018,11,U.S. Representative,Leeder,D,40631,18.4
2018,11,U.S. Representative,Smith,L,3143,1.4
2018,12,U.S. Representative,Granger,R,172557,64.3
2018,12,U.S. Representative,Adia,D,90994,33.9
2018,12,U.S. Representative,Leddy,L,4940,1.8
2018,13,U.S. Representative,Thornberry,R,168992,81.5
2018,13,U.S. Representative,Sagan,D,35075,16.9
2018,13,U.S. Representative,DeWeese,L,3174,1.5
2018,14,U.S. Representative,Weber,R,138934,59.2
2018,14,U.S. Representative,Bell,D,92201,39.3
2018,14,U.S. Representative,Conley,L,3373,1.4
2018,15,U.S. Representative,Gonzalez,D,98333,59.7
2018,15,U.S. Representative,Westley,R,63864,38.8
2018,15,U.S. Representative,Cristo,L,2607,1.6
2018,16,U.S. Representative,Escobar,D,124437,68.3
2018,16,U.S. Representative,Seeberger,R,49127,27.0
2018,16,U.S. Representative,Mendoza,I,8147,4.5
2018,16,U.S. Representative,Williams,W,378,0.2
2018,17,U.S. Representative,Flores,R,134838,56.8
2018,17,U.S. Representative,Kennedy,D,98070,41.3
2018,17,U.S. Representative,Churchman,L,4440,1.9
2018,18,U.S. Representative,Jackson Lee,D,138704,75.2
2018,18,U.S. Representative,Pate,R,38368,20.8
2018,18,U.S. Representative,Spencer,L,4067,2.2
2018,18,U.S. Representative,Duncan,W,3193,1.7
2018,19,U.S. Representative,Arrington,R,151934,75.2
2018,19,U.S. Representative,Levario,D,50038,24.8
2018,2,U.S. Representative,Crenshaw,R,139188,52.8
2018,2,U.S. Representative,Litton,D,119992,45.6
2018,2,U.S. Representative,Gunnels,L,2373,0.9
2018,2,U.S. Representative,Cubbler,I,1839,0.7
2018,20,U.S. Representative,Castro,D,138949,80.9
2018,20,U.S. Representative,Blunt,L,32904,19.1
2018,21,U.S. Representative,Roy,R,177560,50.2
2018,21,U.S. Representative,Kopser,D,168264,47.6
2018,21,U.S. Representative,Santos,L,7537,2.1
2018,22,U.S. Representative,Olson,R,152750,51.4
2018,22,U.S. Representative,Kulkarni,D,138153,46.5
2018,22,U.S. Representative,McElligott,L,3261,1.1
2018,22,U.S. Representative,Sweny,I,3241,1.1
2018,23,U.S. Representative,Hurd,R,103246,49.2
2018,23,U.S. Representative,Ortiz Jones,D,102277,48.7
2018,23,U.S. Representative,Corvalan,L,4412,2.1
2018,24,U.S. Representative,Marchant,R,133317,50.6
2018,24,U.S. Representative,McDowell,D,125231,47.5
2018,24,U.S. Representative,Kolls,L,4870,1.8
2018,25,U.S. Representative,Williams,R,163005,53.5
2018,25,U.S. Representative,Oliver,D,136368,44.8
2018,25,U.S. Representative,Lindsey,L,5142,1.7
2018,26,U.S. Representative,Burgess,R,185551,59.4
2018,26,U.S. Representative,Fagan,D,121938,39.0
2018,26,U.S. Representative,Boler,L,5016,1.6
2018,27,U.S. Representative,Cloud,R,125113,60.3
2018,27,U.S. Representative,Holguin,D,75925,36.6
2018,27,U.S. Representative,Duerr,I,4274,2.1
2018,27,U.S. Representative,Tinus,L,2098,1.0
2018,28,U.S. Representative,Cuellar,D,117421,84.4
2018,28,U.S. Representative,Thomas,L,21719,15.6
2018,29,U.S. Representative,Garcia,D,88188,75.1
2018,29,U.S. Representative,Aronoff,R,28098,23.9
2018,29,U.S. Representative,Burns,L,1199,1.0
2018,29,U.S. Representative,Garza,W,9,0.0
2018,3,U.S. Representative,Taylor,R,169520,54.3
