year,district,office,candidate,party,votes,percentage
2018,STATE,U.S. Senate,Cruz,R,4259630,50.9
2018,STATE,U.S. Senate,O'Rourke,D,4044073,48.3
2018,STATE,U.S. Senate,Dikeman,L,65472,0.8
2018,STATE,Governor,Abbott,R,4655344,55.8
2018,STATE,Governor,Valdez,D,3545673,42.5
2018,STATE,Governor,Tippetts,L,140596,1.7
2018,STATE,Lieutenant Governor,Patrick,R,4260186,51.3
2018,STATE,Lieutenant Governor,Collier,D,3859878,46.5
2018,STATE,Lieutenant Governor,McKennon,L,183455,2.2
2018,STATE,Attorney General,Paxton,R,4190455,50.6
2018,1,U.S. Senate,Cruz,R,167614,71.6
2018,1,U.S. Senate,O'Rourke,D,65208,27.8
2018,1,U.S. Senate,Dikeman,L,1337,0.6
2018,1,Governor,Abbott,R,172958,74.0
2018,1,Governor,Valdez,D,58324,25.0
2018,1,Governor,Tippetts,L,2480,1.1
2018,1,Lieutenant Governor,Patrick,R,161599,69.4
2018,1,Lieutenant Governor,Collier,D,67180,28.9
2018,1,Lieutenant Governor,McKennon,L,3913,1.7
2018,1,Attorney General,Paxton,R,164405,70.8
2018,2,U.S. Senate,Cruz,R,132559,50.2
2018,2,U.S. Senate,O'Rourke,D,129460,49.0
2018,2,U.S. Senate,Dikeman,L,2050,0.8
2018,2,Governor,Abbott,R,146593,55.6
2018,2,Governor,Valdez,D,112508,42.7
2018,2,Governor,Tippetts,L,4356,1.7
2018,2,Lieutenant Governor,Patrick,R,134700,51.2
2018,2,Lieutenant Governor,Collier,D,123617,47.0
2018,2,Lieutenant Governor,McKennon,L,4755,1.8
2018,2,Attorney General,Paxton,R,131542,50.1
2018,3,U.S. Senate,Cruz,R,162514,51.3
2018,3,U.S. Senate,O'Rourke,D,151940,47.9
2018,3,U.S. Senate,Dikeman,L,2566,0.8
2018,3,Governor,Abbott,R,181449,57.6
2018,3,Governor,Valdez,D,127695,40.5
2018,3,Governor,Tippetts,L,5772,1.8
2018,3,Lieutenant Governor,Patrick,R,165445,52.9
2018,3,Lieutenant Governor,Collier,D,140742,45.0
2018,3,Lieutenant Governor,McKennon,L,6827,2.2
2018,3,Attorney General,Paxton,R,160751,51.4
2018,4,U.S. Senate,Cruz,R,186109,74.1
2018,4,U.S. Senate,O'Rourke,D,63070,25.1
2018,4,U.S. Senate,Dikeman,L,1826,0.7
2018,4,Governor,Abbott,R,192989,77.0
2018,4,Governor,Valdez,D,54452,21.7
2018,4,Governor,Tippetts,L,3204,1.3
2018,4,Lieutenant Governor,Patrick,R,179965,72.1
2018,4,Lieutenant Governor,Collier,D,65147,26.1
2018,4,Lieutenant Governor,McKennon,L,4535,1.8
2018,4,Attorney General,Paxton,R,181231,72.8
2018,5,U.S. Senate,Cruz,R,127267,59.9
2018,5,U.S. Senate,O'Rourke,D,83496,39.3
2018,5,U.S. Senate,Dikeman,L,1553,0.7
2018,5,Governor,Abbott,R,136122,64.1
2018,5,Governor,Valdez,D,72834,34.3
2018,5,Governor,Tippetts,L,3322,1.6
2018,5,Lieutenant Governor,Patrick,R,126215,59.7
2018,5,Lieutenant Governor,Collier,D,81098,38.4
2018,5,Lieutenant Governor,McKennon,L,4083,1.9
2018,5,Attorney General,Paxton,R,125161,59.3
2018,6,U.S. Senate,Cruz,R,132290,51.2
2018,6,U.S. Senate,O'Rourke,D,124144,48.0
2018,6,U.S. Senate,Dikeman,L,2057,0.8
2018,6,Governor,Abbott,R,144596,56.1
2018,6,Governor,Valdez,D,108746,42.2
2018,6,Governor,Tippetts,L,4552,1.8
2018,6,Lieutenant Governor,Patrick,R,132656,51.6
2018,6,Lieutenant Governor,Collier,D,118499,46.1
2018,6,Lieutenant Governor,McKennon,L,5906,2.3
2018,6,Attorney General,Paxton,R,130412,50.8
2018,7,U.S. Senate,Cruz,R,112286,46.0
2018,7,U.S. Senate,O'Rourke,D,130185,53.3
2018,7,U.S. Senate,Dikeman,L,1846,0.8
2018,7,Governor,Abbott,R,127666,52.4
2018,7,Governor,Valdez,D,111568,45.8
2018,7,Governor,Tippetts,L,4294,1.8
2018,7,Lieutenant Governor,Patrick,R,113737,46.7
2018,7,Lieutenant Governor,Collier,D,124898,51.3
