year,district,office,candidate,party,votes,percentage
2018,1,Attorney General,Paxton,REP,46141,72.9
2018,1,Governor,Abbott,REP,48519,76.2
2018,1,Governor,Valdez,DEM,14503,22.8
2018,1,Governor,Tippetts,LIB,627,1.0
2018,1,Lieutenant Governor,Patrick,REP,44928,70.8
2018,1,Lieutenant Governor,Collier,DEM,17582,27.7
2018,1,Lieutenant Governor,McKennon,LIB,924,1.5
2018,1,U.S. Senate,Cruz,REP,47345,74.4
2018,1,U.S. Senate,O'Rourke,DEM,15929,25.0
2018,1,U.S. Senate,Dikeman,LIB,392,0.6
2018,10,Attorney General,Paxton,REP,39882,66.4
2018,10,Governor,Abbott,REP,43647,72.1
2018,10,Governor,Valdez,DEM,15879,26.2
2018,10,Governor,Tippetts,LIB,975,1.6
2018,10,Lieutenant Governor,Patrick,REP,40204,66.8
2018,10,Lieutenant Governor,Collier,DEM,18647,31.0
2018,10,Lieutenant Governor,McKennon,LIB,1336,2.2
2018,10,U.S. Senate,Cruz,REP,41022,67.7
2018,10,U.S. Senate,O'Rourke,DEM,19106,31.5
2018,10,U.S. Senate,Dikeman,LIB,461,0.8
2018,100,Attorney General,Paxton,REP,4530,12.5
2018,100,Governor,Valdez,DEM,29968,82.0
2018,100,Governor,Abbott,REP,5811,15.9
2018,100,Governor,Tippetts,LIB,777,2.1
2018,100,Lieutenant Governor,Collier,DEM,30821,84.8
2018,100,Lieutenant Governor,Patrick,REP,4814,13.2
2018,100,Lieutenant Governor,McKennon,LIB,705,1.9
2018,100,U.S. Senate,O'Rourke,DEM,32111,87.4
2018,100,U.S. Senate,Cruz,REP,4433,12.1
2018,100,U.S. Senate,Dikeman,LIB,204,0.6
2018,101,Attorney General,Paxton,REP,14970,30.1
2018,101,Governor,Valdez,DEM,31537,63.2
2018,101,Governor,Abbott,REP,17461,35.0
2018,101,Governor,Tippetts,LIB,936,1.9
2018,101,Lieutenant Governor,Collier,DEM,33119,66.5
2018,101,Lieutenant Governor,Patrick,REP,15553,31.2
2018,101,Lieutenant Governor,McKennon,LIB,1120,2.2
2018,101,U.S. Senate,O'Rourke,DEM,34858,69.6
2018,101,U.S. Senate,Cruz,REP,14895,29.7
2018,101,U.S. Senate,Dikeman,LIB,356,0.7
2018,102,Attorney General,Paxton,REP,15411,33.6
2018,102,Governor,Valdez,DEM,27139,58.8
2018,102,Governor,Abbott,REP,17993,39.0
2018,102,Governor,Tippetts,LIB,1012,2.2
2018,102,Lieutenant Governor,Collier,DEM,28741,62.6
2018,102,Lieutenant Governor,Patrick,REP,16014,34.9
2018,102,Lieutenant Governor,McKennon,LIB,1133,2.5
2018,102,U.S. Senate,O'Rourke,DEM,30504,65.7
2018,102,U.S. Senate,Cruz,REP,15488,33.4
2018,102,U.S. Senate,Dikeman,LIB,406,0.9
2018,103,Attorney General,Paxton,REP,10154,24.1
2018,103,Governor,Valdez,DEM,29505,69.5
2018,103,Governor,Abbott,REP,12071,28.4
2018,103,Governor,Tippetts,LIB,874,2.1
2018,103,Lieutenant Governor,Collier,DEM,30506,72.4
2018,103,Lieutenant Governor,Patrick,REP,10646,25.3
2018,103,Lieutenant Governor,McKennon,LIB,995,2.4
2018,103,U.S. Senate,O'Rourke,DEM,32541,76.1
2018,103,U.S. Senate,Cruz,REP,9966,23.3
