year,district,office,candidate,party,votes,percentage
2018,STATE,U.S. Senate,Cruz,R,4259630,50.9
2018,STATE,U.S. Senate,O'Rourke,D,4044073,48.3
2018,STATE,U.S. Senate,Dikeman,L,65472,0.8
2018,STATE,Governor,Abbott,R,4655344,55.8
2018,STATE,Governor,Valdez,D,3545673,42.5
2018,STATE,Governor,Tippetts,L,140596,1.7
2018,STATE,Lieutenant Governor,Patrick,R,4260186,51.3
2018,STATE,Lieutenant Governor,Collier,D,3859878,46.5
2018,STATE,Lieutenant Governor,McKennon,L,183455,2.2
2018,STATE,Attorney General,Paxton,R,4190455,50.6
2018,1,U.S. Senate,Cruz,R,47345,74.4
2018,1,U.S. Senate,O'Rourke,D,15929,25.0
2018,1,U.S. Senate,Dikeman,L,392,0.6
2018,1,Governor,Abbott,R,48519,76.2
2018,1,Governor,Valdez,D,14503,22.8
2018,1,Governor,Tippetts,L,627,1.0
2018,1,Lieutenant Governor,Patrick,R,44928,70.8
2018,1,Lieutenant Governor,Collier,D,17582,27.7
2018,1,Lieutenant Governor,McKennon,L,924,1.5
2018,1,Attorney General,Paxton,R,46141,72.9
2018,2,U.S. Senate,Cruz,R,45603,78.2
2018,2,U.S. Senate,O'Rourke,D,12330,21.1
2018,2,U.S. Senate,Dikeman,L,407,0.7
2018,2,Governor,Abbott,R,47220,81.1
2018,2,Governor,Valdez,D,10314,17.7
2018,2,Governor,Tippetts,L,708,1.2
2018,2,Lieutenant Governor,Patrick,R,44203,76.2
2018,2,Lieutenant Governor,Collier,D,12802,22.1
2018,2,Lieutenant Governor,McKennon,L,992,1.7
2018,2,Attorney General,Paxton,R,44092,76.3
2018,3,U.S. Senate,Cruz,R,44226,76.5
2018,3,U.S. Senate,O'Rourke,D,13197,22.8
2018,3,U.S. Senate,Dikeman,L,416,0.7
2018,3,Governor,Abbott,R,46247,79.8
2018,3,Governor,Valdez,D,10992,19.0
2018,3,Governor,Tippetts,L,733,1.3
2018,3,Lieutenant Governor,Patrick,R,44309,76.5
2018,3,Lieutenant Governor,Collier,D,12550,21.7
2018,3,Lieutenant Governor,McKennon,L,1025,1.8
2018,3,Attorney General,Paxton,R,43905,76.0
2018,4,U.S. Senate,Cruz,R,37372,70.4
2018,4,U.S. Senate,O'Rourke,D,15366,28.9
2018,4,U.S. Senate,Dikeman,L,375,0.7
2018,4,Governor,Abbott,R,39301,73.9
2018,4,Governor,Valdez,D,13145,24.7
2018,4,Governor,Tippetts,L,739,1.4
2018,4,Lieutenant Governor,Patrick,R,36949,69.6
2018,4,Lieutenant Governor,Collier,D,15129,28.5
2018,4,Lieutenant Governor,McKennon,L,996,1.9
2018,4,Attorney General,Paxton,R,36622,69.2
2018,5,U.S. Senate,Cruz,R,49017,79.1
2018,5,U.S. Senate,O'Rourke,D,12521,20.2
2018,5,U.S. Senate,Dikeman,L,399,0.6
2018,5,Governor,Abbott,R,50164,80.8
2018,5,Governor,Valdez,D,11243,18.1
2018,5,Governor,Tippetts,L,652,1.1
2018,5,Lieutenant Governor,Patrick,R,46979,76.0
2018,5,Lieutenant Governor,Collier,D,13822,22.4
2018,5,Lieutenant Governor,McKennon,L,1038,1.7
2018,5,Attorney General,Paxton,R,48013,77.8
2018,6,U.S. Senate,Cruz,R,42395,67.8
2018,6,U.S. Senate,O'Rourke,D,19725,31.6
2018,6,U.S. Senate,Dikeman,L,370,0.6
2018,6,Governor,Abbott,R,44075,70.7
2018,6,Governor,Valdez,D,17492,28.1
2018,6,Governor,Tippetts,L,761,1.2
2018,6,Lieutenant Governor,Patrick,R,41848,67.5
2018,6,Lieutenant Governor,Collier,D,19056,30.7
2018,6,Lieutenant Governor,McKennon,L,1133,1.8
2018,6,Attorney General,Paxton,R,41735,67.4
2018,7,U.S. Senate,Cruz,R,43243,69.7
2018,7,U.S. Senate,O'Rourke,D,18396,29.7
2018,7,U.S. Senate,Dikeman,L,387,0.6
2018,7,Governor,Abbott,R,44858,72.3
2018,7,Governor,Valdez,D,16516,26.6
2018,7,Governor,Tippetts,L,698,1.1
2018,7,Lieutenant Governor,Patrick,R,41634,67.3
2018,7,Lieutenant Governor,Collier,D,19187,31.0
2018,7,Lieutenant Governor,McKennon,L,1053,1.7
