year,district,office,candidate,party,votes,percentage
2018,STATE,U.S. Senate,Cruz,R,4259630,50.9
2018,STATE,U.S. Senate,O'Rourke,D,4044073,48.3
2018,STATE,U.S. Senate,Dikeman,L,65472,0.8
2018,STATE,Governor,Abbott,R,4655344,55.8
2018,STATE,Governor,Valdez,D,3545673,42.5
2018,STATE,Governor,Tippetts,L,140596,1.7
2018,STATE,Lieutenant Governor,Patrick,R,4260186,51.3
2018,STATE,Lieutenant Governor,Collier,D,3859878,46.5
2018,STATE,Lieutenant Governor,McKennon,L,183455,2.2
2018,STATE,Attorney General,Paxton,R,4190455,50.6
2018,1,U.S. Senate,Cruz,R,201313,73.3
2018,1,U.S. Senate,O'Rourke,D,71736,26.1
2018,1,U.S. Senate,Dikeman,L,1667,0.6
2018,1,Governor,Abbott,R,207209,75.4
2018,1,Governor,Valdez,D,64452,23.5
2018,1,Governor,Tippetts,L,2974,1.1
2018,1,Lieutenant Governor,Patrick,R,193360,70.7
2018,1,Lieutenant Governor,Collier,D,75675,27.7
2018,1,Lieutenant Governor,McKennon,L,4517,1.7
2018,1,Attorney General,Paxton,R,197117,72.2
2018,2,U.S. Senate,Cruz,R,152065,58.0
2018,2,U.S. Senate,O'Rourke,D,108182,41.3
2018,2,U.S. Senate,Dikeman,L,1929,0.7
2018,2,Governor,Abbott,R,163043,62.3
2018,2,Governor,Valdez,D,94217,36.0
2018,2,Governor,Tippetts,L,4265,1.6
2018,2,Lieutenant Governor,Patrick,R,150880,57.9
2018,2,Lieutenant Governor,Collier,D,104371,40.1
2018,2,Lieutenant Governor,McKennon,L,5195,2.0
2018,2,Attorney General,Paxton,R,148801,57.2
2018,3,U.S. Senate,Cruz,R,216839,77.9
2018,3,U.S. Senate,O'Rourke,D,59977,21.5
2018,3,U.S. Senate,Dikeman,L,1593,0.6
2018,3,Governor,Abbott,R,223101,80.2
2018,3,Governor,Valdez,D,52495,18.9
2018,3,Governor,Tippetts,L,2694,1.0
2018,3,Lieutenant Governor,Patrick,R,211110,76.2
2018,3,Lieutenant Governor,Collier,D,61828,22.3
2018,3,Lieutenant Governor,McKennon,L,4204,1.5
2018,3,Attorney General,Paxton,R,212000,76.7
2018,4,U.S. Senate,Cruz,R,204606,65.7
2018,4,U.S. Senate,O'Rourke,D,104840,33.6
2018,4,U.S. Senate,Dikeman,L,2135,0.7
2018,4,Governor,Abbott,R,216292,69.4
2018,4,Governor,Valdez,D,91399,29.3
2018,4,Governor,Tippetts,L,4018,1.3
2018,4,Lieutenant Governor,Patrick,R,204212,65.7
2018,4,Lieutenant Governor,Collier,D,101143,32.6
2018,4,Lieutenant Governor,McKennon,L,5356,1.7
2018,4,Attorney General,Paxton,R,202097,65.1
2018,5,U.S. Senate,Cruz,R,183265,54.3
2018,5,U.S. Senate,O'Rourke,D,150471,44.6
2018,5,U.S. Senate,Dikeman,L,3569,1.1
2018,5,Governor,Abbott,R,200564,59.7
2018,5,Governor,Valdez,D,128248,38.1
2018,5,Governor,Tippetts,L,7407,2.2
2018,5,Lieutenant Governor,Patrick,R,182561,54.6
2018,5,Lieutenant Governor,Collier,D,142128,42.5
2018,5,Lieutenant Governor,McKennon,L,9858,2.9
2018,5,Attorney General,Paxton,R,180023,54.0
2018,6,U.S. Senate,Cruz,R,34591,25.5
2018,6,U.S. Senate,O'Rourke,D,100320,73.9
2018,6,U.S. Senate,Dikeman,L,828,0.6
2018,6,Governor,Abbott,R,40727,30.0
2018,6,Governor,Valdez,D,93519,68.9
2018,6,Governor,Tippetts,L,1538,1.1
2018,6,Lieutenant Governor,Patrick,R,36910,27.2
2018,6,Lieutenant Governor,Collier,D,96689,71.3
2018,6,Lieutenant Governor,McKennon,L,1941,1.4
2018,6,Attorney General,Paxton,R,34760,25.7
2018,7,U.S. Senate,Cruz,R,171330,55.3
2018,7,U.S. Senate,O'Rourke,D,136013,43.9
2018,7,U.S. Senate,Dikeman,L,2277,0.7
2018,7,Governor,Abbott,R,185874,60.1
2018,7,Governor,Valdez,D,119227,38.5
2018,7,Governor,Tippetts,L,4384,1.4
2018,7,Lieutenant Governor,Patrick,R,172955,56.0
2018,7,Lieutenant Governor,Collier,D,130834,42.3
