year,district,office,candidate,party,votes,percentage
2024,01,President,Harris,D,,24.0
2024,01,President,Trump,R,,75.0
2020,01,President,Biden,D,,26.0
2020,01,President,Trump,R,,72.0
2024,02,President,Harris,D,,38.0
2024,02,President,Trump,R,,61.0
2020,02,President,Biden,D,,38.0
2020,02,President,Trump,R,,61.0
2024,03,President,Harris,D,,39.0
2024,03,President,Trump,R,,59.0
2020,03,President,Biden,D,,42.0
2020,03,President,Trump,R,,56.0
2024,04,President,Harris,D,,33.0
2024,04,President,Trump,R,,66.0
2020,04,President,Biden,D,,36.0
2020,04,President,Trump,R,,62.0
2024,05,President,Harris,D,,36.0
2024,05,President,Trump,R,,63.0
2020,05,President,Biden,D,,38.0
2020,05,President,Trump,R,,61.0
2024,06,President,Harris,D,,35.0
2024,06,President,Trump,R,,64.0
2020,06,President,Biden,D,,37.0
2020,06,President,Trump,R,,61.0
2024,07,President,Harris,D,,59.0
2024,07,President,Trump,R,,38.0
2020,07,President,Biden,D,,64.0
2020,07,President,Trump,R,,34.0
2024,08,President,Harris,D,,32.0
2024,08,President,Trump,R,,66.0
2020,08,President,Biden,D,,36.0
2020,08,President,Trump,R,,63.0
2024,09,President,Harris,D,,71.0
2024,09,President,Trump,R,,27.0
2020,09,President,Biden,D,,76.0
2020,09,President,Trump,R,,23.0
2024,10,President,Harris,D,,37.0
2024,10,President,Trump,R,,62.0
2020,10,President,Biden,D,,40.0
2020,10,President,Trump,R,,59.0
2024,11,President,Harris,D,,27.0
2024,11,President,Trump,R,,72.0
2020,11,President,Biden,D,,29.0
2020,11,President,Trump,R,,69.0
2024,12,President,Harris,D,,38.0
2024,12,President,Trump,R,,61.0
2020,12,President,Biden,D,,40.0
2020,12,President,Trump,R,,58.0
2024,13,President,Harris,D,,26.0
2024,13,President,Trump,R,,73.0
2020,13,President,Biden,D,,26.0
2020,13,President,Trump,R,,72.0
2024,14,President,Harris,D,,32.0
2024,14,President,Trump,R,,67.0
2020,14,President,Biden,D,,35.0
2020,14,President,Trump,R,,64.0
2024,15,President,Harris,D,,41.0
2024,15,President,Trump,R,,59.0
2020,15,President,Biden,D,,48.0
2020,15,President,Trump,R,,51.0
2024,16,President,Harris,D,,57.0
2024,16,President,Trump,R,,41.0
2020,16,President,Biden,D,,67.0
2020,16,President,Trump,R,,32.0
2024,17,President,Harris,D,,35.0
2024,17,President,Trump,R,,64.0
2020,17,President,Biden,D,,38.0
2020,17,President,Trump,R,,61.0
2024,18,President,Harris,D,,69.0
2024,18,President,Trump,R,,29.0
2020,18,President,Biden,D,,74.0
2020,18,President,Trump,R,,25.0
2024,19,President,Harris,D,,24.0
2024,19,President,Trump,R,,75.0
2020,19,President,Biden,D,,26.0
2020,19,President,Trump,R,,72.0
2024,20,President,Harris,D,,60.0
2024,20,President,Trump,R,,39.0
2020,20,President,Biden,D,,66.0
2020,20,President,Trump,R,,33.0
2024,21,President,Harris,D,,38.0
2024,21,President,Trump,R,,61.0
2020,21,President,Biden,D,,39.0
2020,21,President,Trump,R,,59.0
2024,22,President,Harris,D,,39.0
2024,22,President,Trump,R,,59.0
2020,22,President,Biden,D,,41.0
2020,22,President,Trump,R,,57.0
2024,23,President,Harris,D,,42.0
2024,23,President,Trump,R,,57.0
2020,23,President,Biden,D,,46.0
2020,23,President,Trump,R,,53.0
2024,24,President,Harris,D,,41.0
2024,24,President,Trump,R,,57.0
2020,24,President,Biden,D,,43.0
2020,24,President,Trump,R,,55.0
2024,25,President,Harris,D,,31.0
2024,25,President,Trump,R,,68.0
2020,25,President,Biden,D,,34.0
2020,25,President,Trump,R,,65.0
2024,26,President,Harris,D,,38.0
2024,26,President,Trump,R,,61.0
2020,26,President,Biden,D,,40.0
2020,26,President,Trump,R,,59.0
2024,27,President,Harris,D,,35.0
2024,27,President,Trump,R,,64.0
2020,27,President,Biden,D,,38.0
2020,27,President,Trump,R,,61.0
2024,28,President,Harris,D,,46.0
2024,28,President,Trump,R,,53.0
2020,28,President,Biden,D,,53.0
2020,28,President,Trump,R,,46.0
2024,29,President,Harris,D,,60.0
2024,29,President,Trump,R,,39.0
2020,29,President,Biden,D,,68.0
2020,29,President,Trump,R,,31.0
2024,30,President,Harris,D,,73.0
2024,30,President,Trump,R,,26.0
2020,30,President,Biden,D,,78.0
2020,30,President,Trump,R,,21.0
2024,31,President,Harris,D,,38.0
2024,31,President,Trump,R,,61.0
2020,31,President,Biden,D,,39.0
2020,31,President,Trump,R,,59.0
2024,32,President,Harris,D,,61.0
2024,32,President,Trump,R,,37.0
2020,32,President,Biden,D,,66.0
2020,32,President,Trump,R,,33.0
2024,33,President,Harris,D,,66.0
2024,33,President,Trump,R,,32.0
2020,33,President,Biden,D,,74.0
2020,33,President,Trump,R,,24.0
2024,34,President,Harris,D,,47.0
2024,34,President,Trump,R,,52.0
2020,34,President,Biden,D,,57.0
2020,34,President,Trump,R,,42.0
2024,35,President,Harris,D,,66.0
2024,35,President,Trump,R,,32.0
2020,35,President,Biden,D,,72.0
2020,35,President,Trump,R,,26.0
2024,36,President,Harris,D,,31.0
2024,36,President,Trump,R,,68.0
2020,36,President,Biden,D,,34.0
2020,36,President,Trump,R,,65.0
2024,37,President,Harris,D,,74.0
2024,37,President,Trump,R,,24.0
2020,37,President,Biden,D,,75.0
2020,37,President,Trump,R,,23.0
2024,38,President,Harris,D,,39.0
2024,38,President,Trump,R,,59.0
2020,38,President,Biden,D,,40.0
2020,38,President,Trump,R,,58.0
