year,district,office,candidate,party,votes,percentage
2020,STATE,President,Biden,D,5257513,46.5
2020,STATE,President,Trump,R,5889022,52.0
2020,STATE,President,Jorgensen,L,126212,1.1
2020,STATE,President,Hawkins,G,33378,0.3
2020,STATE,President,Write-In,W,10927,0.1
2020,STATE,U.S. Senate,Cornyn,R,5961643,53.5
2020,STATE,U.S. Senate,Hegar,D,4887309,43.9
2020,STATE,U.S. Senate,McKennon,L,209623,1.9
2020,STATE,U.S. Senate,Collins,G,81753,0.7
2020,STATE,Railroad Commissioner,Castaneda,D,4791167,43.6
2020,1,President,Biden,D,98697,24.9
2020,1,President,Trump,R,292767,73.9
2020,1,President,Jorgensen,L,3684,0.9
2020,1,President,Hawkins,G,782,0.2
2020,1,President,Write-In,W,184,0.0
2020,1,U.S. Senate,Cornyn,R,290202,74.0
2020,1,U.S. Senate,Hegar,D,94610,24.1
2020,1,U.S. Senate,McKennon,L,5644,1.4
2020,1,U.S. Senate,Collins,G,1626,0.4
2020,1,Railroad Commissioner,Castaneda,D,90415,23.3
2020,2,President,Biden,D,161107,41.6
2020,2,President,Trump,R,220682,57.0
2020,2,President,Jorgensen,L,4043,1.0
2020,2,President,Hawkins,G,1228,0.3
2020,2,President,Write-In,W,418,0.1
2020,2,U.S. Senate,Cornyn,R,225345,58.5
2020,2,U.S. Senate,Hegar,D,150082,39.0
2020,2,U.S. Senate,McKennon,L,6506,1.7
2020,2,U.S. Senate,Collins,G,2950,0.8
2020,2,Railroad Commissioner,Castaneda,D,148214,38.8
2020,3,President,Biden,D,102401,26.0
2020,3,President,Trump,R,286961,72.9
2020,3,President,Jorgensen,L,3239,0.8
2020,3,President,Hawkins,G,656,0.2
2020,3,President,Write-In,W,247,0.1
2020,3,U.S. Senate,Cornyn,R,282567,72.7
2020,3,U.S. Senate,Hegar,D,98593,25.4
2020,3,U.S. Senate,McKennon,L,5626,1.4
2020,3,U.S. Senate,Collins,G,1709,0.4
2020,3,Railroad Commissioner,Castaneda,D,93927,24.4
2020,4,President,Biden,D,136167,33.8
2020,4,President,Trump,R,260866,64.8
2020,4,President,Jorgensen,L,4523,1.1
2020,4,President,Hawkins,G,886,0.2
2020,4,President,Write-In,W,94,0.0
2020,4,U.S. Senate,Cornyn,R,261756,65.8
2020,4,U.S. Senate,Hegar,D,126484,31.8
2020,4,U.S. Senate,McKennon,L,7318,1.8
2020,4,U.S. Senate,Collins,G,2220,0.6
2020,4,Railroad Commissioner,Castaneda,D,123200,31.4
2020,5,President,Biden,D,156179,39.8
2020,5,President,Trump,R,228271,58.2
2020,5,President,Jorgensen,L,6168,1.6
2020,5,President,Hawkins,G,1059,0.3
2020,5,President,Write-In,W,814,0.2
2020,5,U.S. Senate,Cornyn,R,230324,59.6
2020,5,U.S. Senate,Hegar,D,145691,37.7
2020,5,U.S. Senate,McKennon,L,8070,2.1
2020,5,U.S. Senate,Collins,G,2046,0.5
2020,5,Railroad Commissioner,Castaneda,D,138335,36.4
2020,6,President,Biden,D,145880,66.1
2020,6,President,Trump,R,72175,32.7
2020,6,President,Jorgensen,L,1903,0.9
2020,6,President,Hawkins,G,882,0.4
2020,6,President,Write-In,W,6,0.0
2020,6,U.S. Senate,Cornyn,R,70265,32.9
2020,6,U.S. Senate,Hegar,D,136648,63.9
2020,6,U.S. Senate,McKennon,L,4291,2.0
2020,6,U.S. Senate,Collins,G,2606,1.2
2020,6,Railroad Commissioner,Castaneda,D,139751,65.9
2020,7,President,Biden,D,168148,41.2
2020,7,President,Trump,R,233850,57.4
2020,7,President,Jorgensen,L,4609,1.1
