year,district,office,candidate,party,votes,percentage
2022,STATE,Governor,Abbott,R,4437097,54.7
2022,STATE,Governor,Barrios,G,28590,0.4
2022,STATE,Governor,O'Rourke,D,3554772,43.8
2022,STATE,Governor,Tippetts,L,81942,1.0
2022,STATE,Governor,Write-In,W,4367,0.1
2022,STATE,Lieutenant Governor,Collier,D,3493602,43.5
2022,STATE,Lieutenant Governor,Patrick,R,4317770,53.7
2022,STATE,Lieutenant Governor,Steele,L,222257,2.8
2022,STATE,Attorney General,Ash,L,233768,2.9
2022,STATE,Attorney General,Garza,D,3498276,43.7
2022,1,Governor,Abbott,R,47690,79.2
2022,1,Governor,Barrios,G,161,0.3
2022,1,Governor,O'Rourke,D,11870,19.7
2022,1,Governor,Tippetts,L,445,0.7
2022,1,Governor,Write-In,W,36,0.1
2022,1,Lieutenant Governor,Collier,D,12251,20.5
2022,1,Lieutenant Governor,Patrick,R,46721,78.0
2022,1,Lieutenant Governor,Steele,L,932,1.6
2022,1,Attorney General,Ash,L,1051,1.8
2022,1,Attorney General,Garza,D,11953,20.0
2022,2,Governor,Abbott,R,51665,81.4
2022,2,Governor,Barrios,G,141,0.2
2022,2,Governor,O'Rourke,D,10835,17.1
2022,2,Governor,Tippetts,L,535,0.8
2022,2,Governor,Write-In,W,306,0.5
2022,2,Lieutenant Governor,Collier,D,11356,18.0
2022,2,Lieutenant Governor,Patrick,R,50480,80.1
2022,2,Lieutenant Governor,Steele,L,1216,1.9
2022,2,Attorney General,Ash,L,1684,2.7
2022,2,Attorney General,Garza,D,10737,17.1
2022,3,Governor,Abbott,R,46871,77.3
2022,3,Governor,Barrios,G,116,0.2
2022,3,Governor,O'Rourke,D,12998,21.4
2022,3,Governor,Tippetts,L,621,1.0
2022,3,Governor,Write-In,W,0,0.0
2022,3,Lieutenant Governor,Collier,D,12938,21.4
2022,3,Lieutenant Governor,Patrick,R,46231,76.4
2022,3,Lieutenant Governor,Steele,L,1319,2.2
2022,3,Attorney General,Ash,L,1415,2.3
2022,3,Attorney General,Garza,D,12721,21.1
2022,4,Governor,Abbott,R,40133,69.4
2022,4,Governor,Barrios,G,143,0.2
2022,4,Governor,O'Rourke,D,17020,29.4
2022,4,Governor,Tippetts,L,496,0.9
2022,4,Governor,Write-In,W,45,0.1
2022,4,Lieutenant Governor,Collier,D,17077,29.7
2022,4,Lieutenant Governor,Patrick,R,38954,67.8
2022,4,Lieutenant Governor,Steele,L,1398,2.4
2022,4,Attorney General,Ash,L,1786,3.1
2022,4,Attorney General,Garza,D,16644,29.1
2022,5,Governor,Abbott,R,53571,83.4
2022,5,Governor,Barrios,G,107,0.2
2022,5,Governor,O'Rourke,D,10037,15.6
2022,5,Governor,Tippetts,L,513,0.8
2022,5,Governor,Write-In,W,21,0.0
2022,5,Lieutenant Governor,Collier,D,10347,16.2
2022,5,Lieutenant Governor,Patrick,R,52564,82.1
2022,5,Lieutenant Governor,Steele,L,1081,1.7
2022,5,Attorney General,Ash,L,1239,1.9
2022,5,Attorney General,Garza,D,10293,16.1
2022,6,Governor,Abbott,R,44107,72.6
2022,6,Governor,Barrios,G,156,0.3
2022,6,Governor,O'Rourke,D,15907,26.2
2022,6,Governor,Tippetts,L,534,0.9
2022,6,Governor,Write-In,W,38,0.1
2022,6,Lieutenant Governor,Collier,D,15742,26.1
2022,6,Lieutenant Governor,Patrick,R,43181,71.6
2022,6,Lieutenant Governor,Steele,L,1410,2.3
2022,6,Attorney General,Ash,L,1438,2.4
2022,6,Attorney General,Garza,D,16002,26.6
2022,7,Governor,Abbott,R,43252,74.7
2022,7,Governor,Barrios,G,147,0.3
2022,7,Governor,O'Rourke,D,14050,24.3
2022,7,Governor,Tippetts,L,407,0.7
2022,7,Governor,Write-In,W,25,0.0
2022,7,Lieutenant Governor,Collier,D,14127,24.5
2022,7,Lieutenant Governor,Patrick,R,42373,73.5
2022,7,Lieutenant Governor,Steele,L,1151,2.0
2022,7,Attorney General,Ash,L,1118,1.9
2022,7,Attorney General,Garza,D,14265,24.8
2022,8,Governor,Abbott,R,45672,81.5
2022,8,Governor,Barrios,G,124,0.2
2022,8,Governor,O'Rourke,D,9801,17.5
2022,8,Governor,Tippetts,L,435,0.8
2022,8,Governor,Write-In,W,24,0.0
2022,8,Lieutenant Governor,Collier,D,10153,18.2
2022,8,Lieutenant Governor,Patrick,R,44603,80.0
2022,8,Lieutenant Governor,Steele,L,986,1.8
2022,8,Attorney General,Ash,L,1319,2.4
2022,8,Attorney General,Garza,D,9792,17.6
2022,9,Governor,Abbott,R,51341,80.2
2022,9,Governor,Barrios,G,168,0.3
2022,9,Governor,O'Rourke,D,11989,18.7
2022,9,Governor,Tippetts,L,505,0.8
2022,9,Governor,Write-In,W,10,0.0
2022,9,Lieutenant Governor,Collier,D,12256,19.3
2022,9,Lieutenant Governor,Patrick,R,50299,79.0
2022,9,Lieutenant Governor,Steele,L,1102,1.7
2022,9,Attorney General,Ash,L,1319,2.1
2022,9,Attorney General,Garza,D,12133,19.1
2022,10,Governor,Abbott,R,45564,67.2
2022,10,Governor,Barrios,G,177,0.3
2022,10,Governor,O'Rourke,D,21338,31.5
2022,10,Governor,Tippetts,L,682,1.0
2022,10,Governor,Write-In,W,46,0.1
2022,10,Lieutenant Governor,Collier,D,21236,31.7
2022,10,Lieutenant Governor,Patrick,R,43941,65.5
2022,10,Lieutenant Governor,Steele,L,1875,2.8
2022,10,Attorney General,Ash,L,2309,3.5
2022,10,Attorney General,Garza,D,20733,31.0
2022,11,Governor,Abbott,R,46299,79.3
2022,11,Governor,Barrios,G,114,0.2
2022,11,Governor,O'Rourke,D,11506,19.7
2022,11,Governor,Tippetts,L,413,0.7
2022,11,Governor,Write-In,W,27,0.0
2022,11,Lieutenant Governor,Collier,D,11627,20.0
2022,11,Lieutenant Governor,Patrick,R,45532,78.4
2022,11,Lieutenant Governor,Steele,L,926,1.6
2022,11,Attorney General,Ash,L,1028,1.8
2022,11,Attorney General,Garza,D,11562,19.9
2022,12,Governor,Abbott,R,46628,75.7
2022,12,Governor,Barrios,G,140,0.2
2022,12,Governor,O'Rourke,D,14201,23.1
2022,12,Governor,Tippetts,L,619,1.0
2022,12,Governor,Write-In,W,20,0.0
2022,12,Lieutenant Governor,Collier,D,14487,23.6
2022,12,Lieutenant Governor,Patrick,R,45362,74.0
2022,12,Lieutenant Governor,Steele,L,1424,2.3
2022,12,Attorney General,Ash,L,1681,2.8
2022,12,Attorney General,Garza,D,14124,23.1
2022,13,Governor,Abbott,R,41457,76.1
2022,13,Governor,Barrios,G,153,0.3
2022,13,Governor,O'Rourke,D,12328,22.6
2022,13,Governor,Tippetts,L,491,0.9
2022,13,Governor,Write-In,W,20,0.0
2022,13,Lieutenant Governor,Collier,D,12551,23.2
2022,13,Lieutenant Governor,Patrick,R,40522,74.8
2022,13,Lieutenant Governor,Steele,L,1086,2.0
2022,13,Attorney General,Ash,L,1350,2.5
2022,13,Attorney General,Garza,D,12247,22.7
2022,14,Governor,Abbott,R,27936,56.9
2022,14,Governor,Barrios,G,160,0.3
2022,14,Governor,O'Rourke,D,20207,41.1
2022,14,Governor,Tippetts,L,753,1.5
2022,14,Governor,Write-In,W,51,0.1
2022,14,Lieutenant Governor,Collier,D,19800,40.7
2022,14,Lieutenant Governor,Patrick,R,27275,56.0
2022,14,Lieutenant Governor,Steele,L,1609,3.3
2022,14,Attorney General,Ash,L,1840,3.8
2022,14,Attorney General,Garza,D,19857,41.0
2022,15,Governor,Abbott,R,46152,63.6
2022,15,Governor,Barrios,G,192,0.3
2022,15,Governor,O'Rourke,D,25383,35.0
2022,15,Governor,Tippetts,L,851,1.2
2022,15,Governor,Write-In,W,0,0.0
2022,15,Lieutenant Governor,Collier,D,25172,34.8
2022,15,Lieutenant Governor,Patrick,R,45320,62.7
2022,15,Lieutenant Governor,Steele,L,1805,2.5
2022,15,Attorney General,Ash,L,2101,2.9
2022,15,Attorney General,Garza,D,24877,34.5
2022,16,Governor,Abbott,R,54431,79.8
2022,16,Governor,Barrios,G,131,0.2
2022,16,Governor,O'Rourke,D,12999,19.1
2022,16,Governor,Tippetts,L,657,1.0
2022,16,Governor,Write-In,W,0,0.0
2022,16,Lieutenant Governor,Collier,D,13211,19.4
2022,16,Lieutenant Governor,Patrick,R,53459,78.6
2022,16,Lieutenant Governor,Steele,L,1348,2.0
2022,16,Attorney General,Ash,L,1627,2.4
2022,16,Attorney General,Garza,D,12846,18.9
2022,17,Governor,Abbott,R,40389,65.2
2022,17,Governor,Barrios,G,256,0.4
2022,17,Governor,O'Rourke,D,20593,33.2
2022,17,Governor,Tippetts,L,681,1.1
2022,17,Governor,Write-In,W,56,0.1
2022,17,Lieutenant Governor,Collier,D,20508,33.3
2022,17,Lieutenant Governor,Patrick,R,39167,63.7
2022,17,Lieutenant Governor,Steele,L,1827,3.0
2022,17,Attorney General,Ash,L,2047,3.3
2022,17,Attorney General,Garza,D,20595,33.6
2022,18,Governor,Abbott,R,46633,83.9
2022,18,Governor,Barrios,G,116,0.2
2022,18,Governor,O'Rourke,D,8331,15.0
2022,18,Governor,Tippetts,L,468,0.8
2022,18,Governor,Write-In,W,9,0.0
2022,18,Lieutenant Governor,Collier,D,8474,15.3
2022,18,Lieutenant Governor,Patrick,R,45912,82.9
2022,18,Lieutenant Governor,Steele,L,1024,1.8
2022,18,Attorney General,Ash,L,1080,2.0
2022,18,Attorney General,Garza,D,8268,14.9
2022,19,Governor,Abbott,R,70421,71.1
2022,19,Governor,Barrios,G,211,0.2
2022,19,Governor,O'Rourke,D,27168,27.4
2022,19,Governor,Tippetts,L,1182,1.2
2022,19,Governor,Write-In,W,59,0.1
2022,19,Lieutenant Governor,Collier,D,27421,27.8
2022,19,Lieutenant Governor,Patrick,R,68428,69.4
2022,19,Lieutenant Governor,Steele,L,2688,2.7
2022,19,Attorney General,Ash,L,3402,3.5
2022,19,Attorney General,Garza,D,27317,27.8
2022,20,Governor,Abbott,R,47780,55.9
2022,20,Governor,Barrios,G,220,0.3
2022,20,Governor,O'Rourke,D,36207,42.4
2022,20,Governor,Tippetts,L,1185,1.4
2022,20,Governor,Write-In,W,54,0.1
2022,20,Lieutenant Governor,Collier,D,35710,42.4
2022,20,Lieutenant Governor,Patrick,R,46033,54.6
2022,20,Lieutenant Governor,Steele,L,2577,3.1
2022,20,Attorney General,Ash,L,3156,3.8
2022,20,Attorney General,Garza,D,35289,42.4
2022,21,Governor,Abbott,R,48636,80.6
2022,21,Governor,Barrios,G,122,0.2
2022,21,Governor,O'Rourke,D,11118,18.4
2022,21,Governor,Tippetts,L,440,0.7
2022,21,Governor,Write-In,W,48,0.1
2022,21,Lieutenant Governor,Collier,D,11186,18.6
2022,21,Lieutenant Governor,Patrick,R,47845,79.8
2022,21,Lieutenant Governor,Steele,L,948,1.6
2022,21,Attorney General,Ash,L,904,1.5
2022,21,Attorney General,Garza,D,11257,18.8
2022,22,Governor,Abbott,R,17170,44.5
2022,22,Governor,Barrios,G,211,0.5
2022,22,Governor,O'Rourke,D,20822,54.0
2022,22,Governor,Tippetts,L,326,0.8
2022,22,Governor,Write-In,W,44,0.1
2022,22,Lieutenant Governor,Collier,D,20706,54.4
2022,22,Lieutenant Governor,Patrick,R,16625,43.7
2022,22,Lieutenant Governor,Steele,L,753,2.0
2022,22,Attorney General,Ash,L,601,1.6
2022,22,Attorney General,Garza,D,20794,54.6
2022,23,Governor,Abbott,R,35017,62.0
2022,23,Governor,Barrios,G,183,0.3
