year,district,office,candidate,party,votes,percentage
2024,STATE,President,Harris,D,4835134,42.4
2024,STATE,President,Oliver,L,68563,0.6
2024,STATE,President,Stein,G,82698,0.7
2024,STATE,President,Trump,R,6393403,56.1
2024,STATE,President,Write-In,W,24730,0.2
2024,STATE,U.S. Senate,Allred,D,5031142,44.6
2024,STATE,U.S. Senate,Andrus,W,534,0.0
2024,STATE,U.S. Senate,Brown,L,266944,2.4
2024,STATE,U.S. Senate,Cruz,R,5990637,53.1
2024,STATE,U.S. Senate,Roche,W,976,0.0
2024,1,President,Harris,D,80849,24.8
2024,1,President,Oliver,L,1483,0.5
2024,1,President,Stein,G,887,0.3
2024,1,President,Trump,R,241937,74.3
2024,1,President,Write-In,W,568,0.2
2024,1,U.S. Senate,Allred,D,82927,25.6
2024,1,U.S. Senate,Andrus,W,75,0.0
2024,1,U.S. Senate,Brown,L,5794,1.8
2024,1,U.S. Senate,Cruz,R,234531,72.5
2024,1,U.S. Senate,Roche,W,37,0.0
2024,2,President,Harris,D,126187,38.4
2024,2,President,Oliver,L,2100,0.6
2024,2,President,Stein,G,2020,0.6
2024,2,President,Trump,R,198523,60.3
2024,2,President,Write-In,W,187,0.1
2024,2,U.S. Senate,Allred,D,131754,40.2
2024,2,U.S. Senate,Andrus,W,14,0.0
2024,2,U.S. Senate,Brown,L,7470,2.3
2024,2,U.S. Senate,Cruz,R,188695,57.5
2024,2,U.S. Senate,Roche,W,58,0.0
2024,3,President,Harris,D,137002,37.0
2024,3,President,Oliver,L,2397,0.6
2024,3,President,Stein,G,6106,1.6
2024,3,President,Trump,R,223499,60.3
2024,3,President,Write-In,W,1426,0.4
2024,3,U.S. Senate,Allred,D,146476,40.0
2024,3,U.S. Senate,Andrus,W,3,0.0
2024,3,U.S. Senate,Brown,L,8282,2.3
2024,3,U.S. Senate,Cruz,R,211061,57.7
2024,3,U.S. Senate,Roche,W,11,0.0
2024,4,President,Harris,D,134688,36.6
2024,4,President,Oliver,L,2126,0.6
2024,4,President,Stein,G,4385,1.2
2024,4,President,Trump,R,225173,61.2
2024,4,President,Write-In,W,1316,0.4
2024,4,U.S. Senate,Allred,D,142661,39.2
2024,4,U.S. Senate,Andrus,W,4,0.0
2024,4,U.S. Senate,Brown,L,6825,1.9
2024,4,U.S. Senate,Cruz,R,214757,59.0
2024,4,U.S. Senate,Roche,W,18,0.0
2024,5,President,Harris,D,113284,38.6
2024,5,President,Oliver,L,1630,0.6
2024,5,President,Stein,G,1338,0.5
2024,5,President,Trump,R,176445,60.1
2024,5,President,Write-In,W,954,0.3
2024,5,U.S. Senate,Allred,D,119428,41.1
2024,5,U.S. Senate,Andrus,W,2,0.0
2024,5,U.S. Senate,Brown,L,5823,2.0
2024,5,U.S. Senate,Cruz,R,165289,56.9
