year,district,office,candidate,party,votes,percentage
2024,1,State Representative,VanDeaver,R,66843,100.0
2024,2,State Representative,Money,R,71222,80.6
2024,2,State Representative,Washington,D,17182,19.4
2024,3,State Representative,Bell,R,85793,100.0
2024,4,State Representative,Bar-Sela,D,26240,30.3
2024,4,State Representative,Bell,R,60287,69.7
2024,5,State Representative,Hefner,R,74381,98.8
2024,5,State Representative,Nichols,W,905,1.2
2024,6,State Representative,Alders,R,56497,71.8
2024,6,State Representative,Grace,D,22158,28.2
2024,7,State Representative,Cooper,D,20520,25.8
2024,7,State Representative,Dean,R,59056,74.2
2024,8,State Representative,Harris,R,60938,81.4
2024,8,State Representative,Salter,D,13961,18.6
2024,9,State Representative,Ashby,R,73993,100.0
2024,10,State Representative,Brummell,W,888,1.3
2024,10,State Representative,Harrison,R,68706,98.7
2024,10,State Representative,Schroppel,W,40,0.1
2024,11,State Representative,Shofner,R,62320,100.0
2024,12,State Representative,Howard Mullins,D,19325,23.2
2024,12,State Representative,Wharton,R,64105,76.8
2024,13,State Representative,Hunter,D,17303,23.8
2024,13,State Representative,Orr,R,55326,76.2
2024,14,State Representative,Dyson,R,40262,60.5
2024,14,State Representative,Medina,D,26332,39.5
2024,15,State Representative,Toth,R,73720,100.0
2024,16,State Representative,Metcalf,R,73385,80.4
2024,16,State Representative,Midler,D,17930,19.6
2024,17,State Representative,Gerdes,R,53531,66.2
2024,17,State Representative,Venable,D,27389,33.8
2024,18,State Representative,Holt,R,69326,86.6
2024,18,State Representative,Steele,L,10749,13.4
2024,19,State Representative,Handley,D,31486,25.5
2024,19,State Representative,Sawin,I,4478,3.6
2024,19,State Representative,Troxclair,R,87415,70.9
2024,20,State Representative,Wilson,R,64086,59.8
2024,20,State Representative,Wyman,D,43148,40.2
2024,21,State Representative,Phelan,R,66398,100.0
2024,22,State Representative,Manuel,D,34336,100.0
2024,23,State Representative,Merugumala,D,26675,33.1
2024,23,State Representative,Leo-Wilson,R,53832,66.9
2024,24,State Representative,Bonnen,R,78761,100.0
2024,25,State Representative,Daggett,D,29999,39.0
2024,25,State Representative,Vasut,R,47002,61.0
2024,26,State Representative,Lee,D,33505,40.8
2024,26,State Representative,Morgan,R,48561,59.2
2024,27,State Representative,Max-Alalibo,R,24906,30.2
2024,27,State Representative,Reynolds,D,57591,69.8
2024,28,State Representative,Gates,R,56890,60.6
2024,28,State Representative,Rocha,D,37058,39.4
2024,29,State Representative,Barry,R,49655,61.5
2024,29,State Representative,Bell,D,31060,38.5
2024,30,State Representative,Bassham,D,17115,23.0
2024,30,State Representative,Louderback,R,57176,77.0
2024,31,State Representative,Guillen,R,50642,100.0
2024,32,State Representative,Hunter,R,54091,68.7
2024,32,State Representative,McAuliffe,D,24656,31.3
2024,33,State Representative,Pierson,R,70996,100.0
2024,34,State Representative,Ortiz,D,23013,44.6
2024,34,State Representative,Villalobos,R,28553,55.4
2024,35,State Representative,Longoria,D,25896,100.0
2024,36,State Representative,Munoz,D,32483,100.0
