year,district,office,candidate,party,votes,percentage
2024,6,State Senator,Alvarado,D,119279,63.0
2024,6,State Senator,Fierro,R,70013,37.0
2024,7,State Senator,Bettencort,R,251489,63.4
2024,7,State Senator,Gwinn,D,145100,36.6
2024,8,State Senator,Mello,D,184642,40.6
2024,8,State Senator,Paxton,R,269743,59.4
2024,10,State Senator,King,R,227473,61.7
2024,10,State Senator,Morris,D,141162,38.3
2024,12,State Senator,Draper,D,174875,38.6
2024,12,State Senator,Parker,R,277734,61.4
2024,14,State Senator,Eckhardt,D,321021,100.0
2024,15,State Senator,Cook,D,200680,61.9
2024,15,State Senator,Trahan,R,123515,38.1
2024,16,State Senator,Johnson,D,187557,100.0
2024,17,State Senator,Cheng,D,133126,35.8
2024,17,State Senator,Huffman,R,238324,64.2
2024,20,State Senator,Hinojosa,D,178987,100.0
2024,23,State Senator,West,D,253413,100.0
2024,25,State Senator,Campbell,R,321652,63.6
2024,25,State Senator,Fox,D,184311,36.4
2024,27,State Senator,Hinojosa,R,126081,49.4
2024,27,State Senator,LaMantia,D,123310,48.3
2024,27,State Senator,Vargas,G,5957,2.3
2024,29,State Senator,Blanco,D,174722,100.0
2024,30,State Senator,Frey,D,155949,35.0
2024,30,State Senator,Hagenbuch,R,289981,65.0
