year,district,page,raw_row
2018,1,1,"['1', '127,395', '2.3 %', '64,203', '50.4 %']"
2018,2,1,"['2', '114,566', '5.9 %', '58,503', '51.1 %']"
2018,3,1,"['3', '105,376', '11.1 %', '58,007', '55.0 %']"
2018,4,1,"['4', '102,557', '8.7 %', '53,483', '52.1 %']"
2018,5,1,"['5', '115,503', '6.5 %', '62,252', '53.9 %']"
2018,6,1,"['6', '108,984', '7.5 %', '62,505', '57.4 %']"
2018,7,1,"['7', '121,024', '5.0 %', '62,687', '51.8 %']"
2018,8,1,"['8', '105,665', '7.6 %', '56,299', '53.3 %']"
2018,9,1,"['9', '133,355', '6.6 %', '66,190', '49.6 %']"
2018,10,1,"['10', '108,050', '13.9 %', '60,850', '56.3 %']"
2018,11,1,"['11', '116,402', '5.5 %', '63,146', '54.2 %']"
2018,12,1,"['12', '109,734', '9.4 %', '60,953', '55.5 %']"
2018,13,1,"['13', '110,101', '10.8 %', '55,924', '50.8 %']"
2018,14,1,"['14', '95,063', '14.8 %', '54,209', '57.0 %']"
2018,15,1,"['15', '115,367', '9.0 %', '69,173', '60.0 %']"
2018,16,1,"['16', '99,466', '10.5 %', '57,175', '57.5 %']"
2018,17,1,"['17', '107,723', '19.0 %', '59,665', '55.4 %']"
2018,18,1,"['18', '112,730', '7.2 %', '56,456', '50.1 %']"
2018,19,1,"['19', '135,335', '8.6 %', '88,016', '65.0 %']"
2018,20,1,"['20', '120,104', '11.1 %', '77,869', '64.8 %']"
2018,21,1,"['21', '120,724', '4.7 %', '64,380', '53.3 %']"
2018,22,1,"['22', '102,769', '9.0 %', '48,820', '47.5 %']"
2018,23,1,"['23', '116,402', '15.8 %', '59,583', '51.2 %']"
2018,24,1,"['24', '124,628', '11.5 %', '70,036', '56.2 %']"
2018,25,1,"['25', '98,978', '17.5 %', '52,946', '53.5 %']"
2018,26,1,"['26', '99,846', '14.0 %', '60,855', '60.9 %']"
2018,27,1,"['27', '109,917', '13.1 %', '64,325', '58.5 %']"
2018,28,1,"['28', '98,401', '16.8 %', '59,761', '60.7 %']"
2018,29,1,"['29', '107,241', '19.1 %', '58,842', '54.9 %']"
2018,30,1,"['30', '116,148', '27.4 %', '59,689', '51.4 %']"
2018,31,1,"['31', '111,536', '64.8 %', '49,387', '44.3 %']"
2018,32,2,"['32', '113,713', '31.2 %', '59,725', '52.5 %']"
2018,33,2,"['33', '105,102', '8.3 %', '65,165', '62.0 %']"
2018,34,2,"['34', '107,683', '64.5 %', '43,464', '40.4 %']"
2018,35,2,"['35', '67,374', '87.2 %', '26,492', '39.3 %']"
2018,36,2,"['36', '80,229', '84.1 %', '31,869', '39.7 %']"
2018,37,2,"['37', '94,933', '70.6 %', '40,099', '42.2 %']"
2018,38,2,"['38', '92,352', '85.3 %', '32,300', '35.0 %']"
2018,39,2,"['39', '81,271', '84.2 %', '32,330', '39.8 %']"
2018,40,2,"['40', '74,925', '85.9 %', '31,391', '41.9 %']"
2018,41,2,"['41', '89,968', '72.3 %', '42,487', '47.2 %']"
2018,42,2,"['42', '95,626', '85.6 %', '37,973', '39.7 %']"
2018,43,2,"['43', '119,387', '55.2 %', '52,900', '44.3 %']"
2018,44,2,"['44', '112,293', '24.9 %', '60,219', '53.6 %']"
2018,45,2,"['45', '106,615', '28.0 %', '60,166', '56.4 %']"
2018,46,2,"['46', '107,297', '18.6 %', '62,589', '58.3 %']"
2018,47,2,"['47', '133,196', '8.3 %', '88,299', '66.3 %']"
2018,48,2,"['48', '140,337', '14.1 %', '94,661', '67.5 %']"
2018,49,2,"['49', '153,206', '12.8 %', '98,080', '64.0 %']"
2018,50,2,"['50', '98,517', '19.2 %', '53,178', '54.0 %']"
2018,51,2,"['51', '106,527', '33.2 %', '56,335', '52.9 %']"
2018,52,2,"['52', '103,988', '14.3 %', '65,394', '62.9 %']"
2018,53,2,"['53', '134,427', '24.3 %', '76,958', '57.2 %']"
2018,54,2,"['54', '96,228', '12.6 %', '40,039', '41.6 %']"
2018,55,2,"['55', '98,625', '13.3 %', '46,866', '47.5 %']"
2018,56,2,"['56', '110,477', '11.9 %', '63,464', '57.4 %']"
2018,57,2,"['57', '100,985', '9.9 %', '58,869', '58.3 %']"
2018,58,2,"['58', '103,115', '10.3 %', '56,356', '54.7 %']"
2018,59,2,"['59', '106,834', '7.9 %', '57,205', '53.5 %']"
2018,60,2,"['60', '114,710', '6.6 %', '67,769', '59.1 %']"
2018,61,2,"['61', '104,697', '7.2 %', '64,747', '61.8 %']"
2018,62,2,"['62', '111,979', '4.6 %', '60,101', '53.7 %']"
2018,63,2,"['63', '117,548', '9.3 %', '67,270', '57.2 %']"
2018,64,2,"['64', '116,974', '10.2 %', '66,682', '57.0 %']"
2018,65,3,"['65', '116,933', '8.5 %', '67,400', '57.6 %']"
2018,66,3,"['66', '113,541', '6.1 %', '70,482', '62.1 %']"
2018,67,3,"['67', '104,271', '8.5 %', '62,510', '59.9 %']"
2018,68,3,"['68', '124,623', '8.9 %', '68,228', '54.7 %']"
2018,69,3,"['69', '120,078', '10.5 %', '54,694', '45.5 %']"
2018,70,3,"['70', '104,002', '6.4 %', '64,731', '62.2 %']"
2018,71,3,"['71', '107,521', '14.9 %', '55,237', '51.4 %']"
2018,72,3,"['72', '104,714', '24.8 %', '53,520', '51.1 %']"
2018,73,3,"['73', '128,124', '13.6 %', '82,105', '64.1 %']"
2018,74,3,"['74', '110,860', '69.1 %', '44,981', '40.6 %']"
2018,75,3,"['75', '82,106', '78.7 %', '32,139', '39.1 %']"
2018,76,3,"['76', '101,670', '15.4 %', '56,543', '55.6 %']"
2018,77,3,"['77', '117,066', '77.7 %', '48,096', '41.1 %']"
2018,78,3,"['78', '119,013', '54.0 %', '59,672', '50.1 %']"
2018,79,3,"['79', '114,612', '68.0 %', '54,021', '47.1 %']"
2018,80,3,"['80', '103,491', '73.4 %', '41,284', '39.9 %']"
2018,81,3,"['81', '86,515', '42.5 %', '35,428', '41.0 %']"
2018,82,3,"['82', '94,059', '28.2 %', '47,721', '50.7 %']"
2018,83,3,"['83', '111,406', '23.9 %', '60,595', '54.4 %']"
2018,84,3,"['84', '100,954', '29.1 %', '47,915', '47.5 %']"
2018,85,3,"['85', '128,100', '14.7 %', '73,070', '57.0 %']"
2018,86,3,"['86', '108,850', '17.2 %', '58,797', '54.0 %']"
2018,87,3,"['87', '94,194', '22.3 %', '43,754', '46.5 %']"
2018,88,3,"['88', '106,016', '32.5 %', '48,141', '45.4 %']"
2018,89,3,"['89', '109,083', '8.8 %', '67,056', '61.5 %']"
2018,90,3,"['90', '82,899', '41.1 %', '39,736', '47.9 %']"
2018,91,3,"['91', '104,554', '13.3 %', '57,950', '55.4 %']"
2018,92,3,"['92', '82,512', '15.4 %', '40,466', '49.0 %']"
2018,93,3,"['93', '99,033', '13.7 %', '53,412', '53.9 %']"
2018,94,3,"['94', '114,466', '9.4 %', '69,143', '60.4 %']"
2018,95,3,"['95', '96,897', '13.6 %', '46,023', '47.5 %']"
2018,96,3,"['96', '115,318', '9.8 %', '67,691', '58.7 %']"
2018,97,3,"['97', '109,459', '10.3 %', '66,107', '60.4 %']"
2018,98,4,"['98', '124,798', '5.9 %', '81,639', '65.4 %']"
2018,99,4,"['99', '104,918', '15.1 %', '55,862', '53.2 %']"
2018,100,4,"['100', '85,130', '22.1 %', '36,958', '43.4 %']"
2018,101,4,"['101', '96,921', '16.5 %', '50,121', '51.7 %']"
2018,102,4,"['102', '87,193', '12.3 %', '46,656', '53.5 %']"
2018,103,4,"['103', '79,189', '33.5 %', '43,006', '54.3 %']"
2018,104,4,"['104', '78,459', '48.4 %', '37,186', '47.4 %']"
2018,105,4,"['105', '76,283', '24.4 %', '38,941', '51.0 %']"
2018,106,4,"['106', '100,508', '8.1 %', '59,366', '59.1 %']"
2018,107,4,"['107', '77,739', '29.9 %', '37,457', '48.2 %']"
2018,108,4,"['108', '132,758', '4.7 %', '93,694', '70.6 %']"
2018,109,4,"['109', '103,059', '11.8 %', '56,830', '55.1 %']"
2018,110,4,"['110', '82,327', '21.7 %', '32,828', '39.9 %']"
2018,111,4,"['111', '106,120', '15.2 %', '57,784', '54.5 %']"
2018,112,4,"['112', '115,009', '8.7 %', '74,184', '64.5 %']"
2018,113,4,"['113', '98,751', '18.1 %', '52,928', '53.6 %']"
2018,114,4,"['114', '105,197', '14.8 %', '62,507', '59.4 %']"
2018,115,4,"['115', '102,112', '10.2 %', '60,624', '59.4 %']"
2018,116,4,"['116', '110,168', '50.0 %', '51,600', '46.8 %']"
2018,117,4,"['117', '94,416', '57.5 %', '41,899', '44.4 %']"
2018,118,4,"['118', '107,279', '46.9 %', '49,488', '46.1 %']"
2018,119,4,"['119', '105,856', '55.6 %', '46,249', '43.7 %']"
2018,120,4,"['120', '102,376', '33.5 %', '42,871', '41.9 %']"
2018,121,4,"['121', '130,484', '21.6 %', '78,685', '60.3 %']"
2018,122,4,"['122', '127,718', '22.9 %', '81,973', '64.2 %']"
2018,123,4,"['123', '115,419', '50.5 %', '58,748', '50.9 %']"
2018,124,4,"['124', '94,304', '60.2 %', '40,030', '42.4 %']"
2018,125,4,"['125', '118,368', '52.7 %', '59,126', '50.0 %']"
2018,126,4,"['126', '113,791', '13.0 %', '65,511', '57.6 %']"
2018,127,4,"['127', '120,377', '14.5 %', '68,480', '56.9 %']"
2018,128,4,"['128', '97,586', '21.1 %', '48,908', '50.1 %']"
